Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",136.68,2.15,+1.60%,137.12,134.5,1495100,04/23/21
AAL,"American Airlines Gp",21.11,1.04,+5.18%,21.2,20.18,48123801,04/23/21
AAP,"Advance Auto Parts Inc",199.75,-0.55000000000001,-0.27%,201.39,197.27,519600,04/23/21
AAPL,"Apple Inc",134.32,2.38,+1.80%,135.12,132.16,78756703,04/23/21
ABBV,"Abbvie Inc",111.38,1.33,+1.21%,111.77,109.55,4611000,04/23/21
ABC,"Amerisourcebergen Corp",121.65,0.76000000000001,+0.63%,121.82,120.23,545600,04/23/21
ABMD,"Abiomed Inc",351.03,7.63,+2.22%,355.94,344.79,291300,04/23/21
ABT,"Abbott Laboratories",123.31,-0.19,-0.15%,124.11,122.64,5227000,04/23/21
ACN,"Accenture Plc",291.74,1.58,+0.54%,292.89,289.7,1505200,04/23/21
ADBE,"Adobe Systems Inc",515.84,8.55,+1.69%,517.5,508.39,2257500,04/23/21
ADI,"Analog Devices",159.02,3.65,+2.35%,159.97,156.11,3415400,04/23/21
ADM,"Archer Daniels Midland",59.41,0.54,+0.92%,59.65,58.63,2148000,04/23/21
ADP,"Automatic Data Procs",195.86,1.03,+0.53%,197.28,193.62,1342800,04/23/21
ADSK,"Autodesk Inc",295.27,7.27,+2.52%,296.57,289.12,1073500,04/23/21
AEE,"Ameren Corp",84.78,-0.030000000000001,-0.04%,85.19,84.32,962200,04/23/21
AEP,"American Electric Power Company",87.7,-0.25,-0.28%,88.4,87.36,3136900,04/23/21
AES,"The Aes Corp",28.3,-0.02,-0.07%,28.5,28.17,3297100,04/23/21
AFL,"Aflac Inc",53.37,0.43,+0.81%,53.57,52.8,2803400,04/23/21
AIG,"American International Group",47.34,0.88,+1.89%,47.55,46.35,3242100,04/23/21
AIZ,"Assurant Inc",155.79,1.94,+1.26%,156.25,154.18,166400,04/23/21
AJG,"Arthur J. Gallagher & Company",137.94,1.69,+1.24%,138.3,136.27,564400,04/23/21
AKAM,"Akamai Technologies",107.01,0.65,+0.61%,108.02,105.22,2218300,04/23/21
ALB,"Albemarle Corp",161.23,5.43,+3.49%,167.86,154.67,1578800,04/23/21
ALGN,"Align Technology",620.12,4.81,+0.78%,624.79,616,537800,04/23/21
ALK,"Alaska Air Group",69.21,2.25,+3.36%,69.55,67.2,1187500,04/23/21
ALL,"Allstate Corp",125.05,1.39,+1.12%,125.27,123.69,1181800,04/23/21
ALLE,"Allegion Plc",138.35,2.86,+2.11%,138.83,134.3,938100,04/23/21
ALXN,"Alexion Pharm Inc",166.92,-0.73,-0.44%,167.77,166.57,1597300,04/23/21
AMAT,"Applied Materials",134.86,3.11,+2.36%,135.17,132.75,8082300,04/23/21
AMCR,"Amcor Plc",11.73,0.08,+0.69%,11.79,11.64,5480200,04/23/21
AMD,"Adv Micro Devices",82.76,3.7,+4.68%,83.3,79.96,49267199,04/23/21
AME,"Amtek Inc",135.01,1.48,+1.11%,135.61,133.51,540800,04/23/21
AMGN,"Amgen Inc",257.03,1.98,+0.78%,258.14,253.67,2427100,04/23/21
AMP,"Ameriprise Financial Services",249.14,6.24,+2.57%,250,242.65,503000,04/23/21
AMT,"American Tower Corp",254.04,2.5,+0.99%,255.28,251.24,1511500,04/23/21
AMZN,"Amazon.com Inc",3340.88,31.84,+0.96%,3375,3308.5,3196600,04/23/21
ANET,"Arista Networks Inc",318.64,5.81,+1.86%,319.62,314.43,258800,04/23/21
ANSS,"Ansys Inc",371.73,6.92,+1.90%,374.14,366.46,260400,04/23/21
ANTM,"Anthem Inc",381.95,2.17,+0.57%,383.87,376.26,903500,04/23/21
AON,"AON Plc",230.89,-0.26000000000002,-0.11%,232.23,230.4,1018600,04/23/21
AOS,"Smith A.O. Corp",68.36,0.61,+0.90%,68.87,67.56,743100,04/23/21
APA,"Apa Corp",18.18,0.57,+3.24%,18.21,17.4,5749600,04/23/21
APD,"Air Products and Chemicals",290.3,5.56,+1.95%,291.11,284.71,885600,04/23/21
APH,"Amphenol Corp",68.8,1.2,+1.78%,68.97,67.76,3555300,04/23/21
APTV,"Aptiv Plc",144.89,5.96,+4.29%,145.77,139.19,1597000,04/23/21
ARE,"Alexandria Real Estate Equities",179.35,0.34999999999999,+0.20%,179.71,177.58,520300,04/23/21
ATO,"Atmos Energy Corp",103.35,-0.050000000000011,-0.05%,104.26,103.13,374800,04/23/21
ATVI,"Activision Blizzard",93.02,-0.68,-0.73%,94.04,92.69,4034200,04/23/21
AVB,"Avalonbay Communities",193.88,1.48,+0.77%,194.53,192.07,564800,04/23/21
AVGO,"Broadcom Ltd",466.13,11.02,+2.42%,467.85,457.5,2289100,04/23/21
AVY,"Avery Dennison Corp",202.16,2.16,+1.08%,202.91,200.43,407400,04/23/21
AWK,"American Water Works",159.36,-2.07,-1.28%,161.85,159.29,1045200,04/23/21
